"","year","week","province","count"
"4323",2017,5,"Lattakia",3
"4324",2017,5,"Quneitra",1
"4325",2017,5,"Damascus.Suburbs",35
"4326",2017,5,"Tartous",8
"4327",2017,6,"Hasakeh",0
"4328",2017,6,"Aleppo",113
"4329",2017,6,"Raqqa",6
"4330",2017,6,"Sweida",0
"4331",2017,6,"Damascus",3
"4332",2017,6,"Daraa",33
"4333",2017,6,"Deir.Ezzor",7
"4334",2017,6,"Hama",11
"4335",2017,6,"Homs",26
"4336",2017,6,"Idlib",42
"4337",2017,6,"Lattakia",2
"4338",2017,6,"Quneitra",0
"4339",2017,6,"Damascus.Suburbs",23
"4340",2017,6,"Tartous",4
"4341",2017,7,"Hasakeh",0
"4342",2017,7,"Aleppo",84
"4343",2017,7,"Raqqa",0
"4344",2017,7,"Sweida",0
"4345",2017,7,"Damascus",2
"4346",2017,7,"Daraa",75
"4347",2017,7,"Deir.Ezzor",3
"4348",2017,7,"Hama",121
"4349",2017,7,"Homs",20
"4350",2017,7,"Idlib",36
"4351",2017,7,"Lattakia",0
"4352",2017,7,"Quneitra",1
"4353",2017,7,"Damascus.Suburbs",32
"4354",2017,7,"Tartous",0
"4355",2017,8,"Hasakeh",1
"4356",2017,8,"Aleppo",131
"4357",2017,8,"Raqqa",14
"4358",2017,8,"Sweida",9
"4359",2017,8,"Damascus",8
"4360",2017,8,"Daraa",123
"4361",2017,8,"Deir.Ezzor",14
"4362",2017,8,"Hama",25
"4363",2017,8,"Homs",49
"4364",2017,8,"Idlib",70
"4365",2017,8,"Lattakia",6
"4366",2017,8,"Quneitra",0
"4367",2017,8,"Damascus.Suburbs",35
"4368",2017,8,"Tartous",2
"4369",2017,9,"Hasakeh",2
"4370",2017,9,"Aleppo",74
"4371",2017,9,"Raqqa",13
"4372",2017,9,"Sweida",0
"4373",2017,9,"Damascus",8
"4374",2017,9,"Daraa",36
"4375",2017,9,"Deir.Ezzor",19
"4376",2017,9,"Hama",13
"4377",2017,9,"Homs",31
"4378",2017,9,"Idlib",52
"4379",2017,9,"Lattakia",0
"4380",2017,9,"Quneitra",0
"4381",2017,9,"Damascus.Suburbs",33
"4382",2017,9,"Tartous",0
"4383",2017,10,"Hasakeh",0
"4384",2017,10,"Aleppo",73
"4385",2017,10,"Raqqa",14
"4386",2017,10,"Sweida",0
