year,week,province,Civilian,Non-Civilian,Adult - Female,Adult - Male,Child - Female,Child - Male,Chemical and toxic gases,Detention - Execution,Detention - Torture,Detention - Torture - Execution,Explosion,Field Execution,Kidnapping - Execution,Kidnapping - Torture,Kidnapping - Torture - Execution,Other,Shelling,Shooting,Siege,Un-allowed to seek Medical help,Unknown,Warplane shelling,total
2011,20,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,20,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,20,Tartous,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
2011,21,Aleppo,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,21,Damascus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,21,Damascus Suburbs,7,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,7
2011,21,Daraa,8,1,0,9,0,0,0,0,2,1,0,2,0,0,0,0,0,4,0,0,0,0,9
2011,21,Deir Ezzor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,21,Hama,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2011,21,Hasakeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,21,Homs,24,4,2,25,1,0,0,0,0,1,0,2,0,0,0,0,0,25,0,0,0,0,28
2011,21,Idlib,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,21,Lattakia,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
2011,21,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,21,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,21,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,21,Tartous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,22,Aleppo,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2011,22,Damascus,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
2011,22,Damascus Suburbs,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,22,Daraa,19,0,2,16,1,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,19
2011,22,Deir Ezzor,11,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
2011,22,Hama,80,0,0,74,0,6,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,80
2011,22,Hasakeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,22,Homs,40,4,3,40,0,1,0,0,2,3,0,0,0,0,2,0,0,37,0,0,0,0,44
2011,22,Idlib,78,6,4,78,0,2,0,0,0,0,0,3,0,0,0,0,8,73,0,0,0,0,84
2011,22,Lattakia,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
2011,22,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,22,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,22,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,22,Tartous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,23,Aleppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,23,Damascus,44,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44
2011,23,Damascus Suburbs,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
2011,23,Daraa,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2011,23,Deir Ezzor,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2011,23,Hama,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,23,Hasakeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
