year,week,province,Adult - Female,Adult - Male,Child - Female,Child - Male
2011,46,Hasakeh,0.0,0.0,0.0,1.0
2011,46,Homs,1.0,82.0,0.0,1.0
2011,46,Idlib,0.0,57.0,3.0,5.0
2011,46,Lattakia,0.0,0.0,0.0,0.0
2011,46,Quneitra,0.0,0.0,0.0,0.0
2011,46,Raqqa,0.0,0.0,0.0,0.0
2011,46,Sweida,0.0,0.0,0.0,0.0
2011,46,Tartous,0.0,0.0,0.0,0.0
2011,47,Aleppo,0.0,0.0,0.0,1.0
2011,47,Damascus,0.0,1.0,0.0,0.0
2011,47,Damascus Suburbs,0.0,18.0,0.0,5.0
2011,47,Daraa,0.0,16.0,0.0,3.0
2011,47,Deir Ezzor,0.0,14.0,0.0,2.0
2011,47,Hama,2.0,29.0,0.0,4.0
2011,47,Hasakeh,0.0,0.0,0.0,0.0
2011,47,Homs,3.0,106.0,1.0,13.0
